               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.041448,            0.034801,             0.01895,             0.90171,             0.59679,              0.6994,             0.39405,            0.035585,            0.017545,             0.01378,            0.006436,            0.006436,            0.006436
                  38,            0.043182,            0.033912,            0.018984,               0.912,             0.59369,             0.70396,             0.42588,            0.034307,            0.017361,            0.013736,            0.006337,            0.006337,            0.006337
                  39,             0.04099,            0.035876,            0.019737,             0.86868,             0.59925,             0.69847,             0.41112,             0.03506,            0.017047,            0.013445,            0.006238,            0.006238,            0.006238
                  40,            0.041895,            0.033867,            0.018682,             0.87253,              0.6181,             0.71789,             0.43945,            0.033695,            0.016563,            0.013197,            0.006139,            0.006139,            0.006139
                  41,            0.040118,            0.030908,            0.018348,             0.87701,             0.62529,             0.72249,             0.44755,            0.034077,            0.016789,            0.012881,             0.00604,             0.00604,             0.00604
                  42,            0.042503,            0.036781,            0.017377,             0.87765,             0.62651,             0.72711,             0.47227,            0.031182,            0.016555,            0.012568,            0.005941,            0.005941,            0.005941
                  43,            0.039441,             0.03292,            0.016688,             0.87805,                0.62,             0.72388,             0.44252,            0.032466,            0.016845,            0.012259,            0.005842,            0.005842,            0.005842
                  44,            0.038634,            0.031938,            0.017269,             0.86834,             0.65426,             0.73687,             0.48018,            0.031772,            0.016693,            0.012048,            0.005743,            0.005743,            0.005743
                  45,            0.039545,            0.030766,            0.017057,             0.86504,             0.65311,             0.74154,             0.44692,              0.0335,            0.017136,            0.011856,            0.005644,            0.005644,            0.005644
                  46,            0.038766,            0.033602,            0.016623,             0.88445,             0.66765,               0.746,             0.49115,            0.030485,            0.016389,            0.011624,            0.005545,            0.005545,            0.005545
                  47,            0.038987,            0.032451,            0.017504,             0.84458,             0.66441,             0.73148,              0.4555,            0.033108,             0.01666,            0.011456,            0.005446,            0.005446,            0.005446
                  48,            0.038043,            0.033503,             0.01685,             0.86644,             0.67817,             0.75582,             0.51538,            0.029619,            0.016049,            0.011379,            0.005347,            0.005347,            0.005347
                  49,            0.038033,            0.032632,            0.016586,             0.87443,              0.6855,             0.76045,             0.49132,            0.031771,            0.016051,            0.011246,            0.005248,            0.005248,            0.005248
